,,,,,,,,,,,,,,,,,,
family,species,18-Jan-23,29-Jan-23,10-Feb-23,19-Feb-22,16-Mar-22,30-Mar-23,08-Apr-23,22-Apr-23,07-May-23,20-May-23,05-Jun-23,24-Jun-23,28-Jul-23,08-Oct-23,,totals,
Notodontidae,buff tip,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,
Saturnidae,,,,,,,,,,,,,,,,,,
Sessidae,currant clearwing ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,x
Sphingidae,elephant hawk moth,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,x
Sphingidae,poplar hawk moth,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,x
Zygaenidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,light brown apple tortrix,,,,"light brow apple tortrix x2 , an other",,,,,garden pebble x1,,,
